group	required_for	logical_path	bytes	sha256	original_path	description
raw	data+train+score	data/raw/dmel_genome.fa	145657746	4e14dbd8ea213a19ebf27057ab62a57ca83951e79ae0c2501ae4c460b7c3d415	/home/bowencccc/ssm_splice_site/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna	Dmel Release 6 genomic FASTA
raw	data+train+score	data/raw/dmel_genome.fa.fai	66977	60ec888d213af7500b973f629bcaf1c84c6c40736fd5c0a11a935699422b044e	/home/bowencccc/ssm_splice_site/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.fai	FASTA index
raw	data+train	data/raw/dmel_eviann_pseudo_label.gff	42044138	cde1eabe9154fd05ae0e844d62bd70ffea530512db0eb47f0692bac062385d43	/home/bowencccc/ssm_splice_site/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.pseudo_label.gff	EviAnn pseudo-label annotation used for training
raw	data+auprc	data/raw/dmel_reference.gtf	185199259	8405bd41e42bce6b3385667daff80163c5059eefc719e0ea691552fa05f4cc91	/home/bowencccc/ssm_splice_site/drosophila_annotation.gtf	FlyBase/RefSeq truth annotation
raw	uniann	data/raw/dmel_chrX.fa	23934656	8d4513bdf36b879de0b9e5b4fa5e54d5c6cf1ddaf66b73feee4de1fa6e4ab979	/home/bowencccc/uniann_droso_chrx_benchmark_20260824/shared/NC_004354.4.fa	chrX-only FASTA named NC_004354.4
raw	uniann	data/raw/psauron_score_droso.csv	218162592	25433622eeb2c7733829171d86ef5f2c70d6ab5eb5c97bf25e04b5a9f1614701	/home/bowencccc/UniAnn/psauron_score_droso.csv	PSAURON scores for UniAnn
raw	uniann	data/raw/dmel_chrX_plus_CDS_reference.gtf	1437360	cc0bb477a4d89d745555d1e98f4d095ba286ac31ce03ad984ec2eb894c588ee5	/home/bowencccc/uniann_droso_chrx_benchmark_20260824/shared/NC_004354.4.p.CDS.uniq.gtf	strict-match plus-strand CDS reference
raw	combined	data/raw/dmel_chrX_plus_EviAnn_CDS.gff	1948679	c9eba269b4a703bc45795ccafc5f937e7ad161f6aadaaeb0c27656afdb4aa650	/home/bowencccc/eviann_uniann_combined_strict_20260824/shared/NC_004354.4.plus.EviAnn.CDS.raw.gff	plus-strand EviAnn CDS prediction
checkpoint	reuse	artifacts/checkpoints/heldout/w5/best_model.pt	54008243	5a05439277615371bedd9b1d7ec8cc5d768270a597c755751ab44c6a20bf9fba	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/heldout/w5/best_model.pt	chrX-held-out 5 kb best checkpoint
checkpoint	reuse	artifacts/checkpoints/heldout/w10/best_model.pt	54008243	4f316defa5fda52fb149a2ecaa2de0ea79de94de20030452a4ee1dc909e13f3b	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/heldout/w10/best_model.pt	chrX-held-out 10 kb best checkpoint
